CrossingID,SubmissionType,ReportBaseId,ParentReportBaseId,CrossingClosed,ReportingAgencyTypeID,ReportingAgencyID,RevisionDate,ReasonID,CrossingIdSuffix,ReportStatus,LastUpdated,Railroad,StateCD,StateName,CntyCD,CountyName,Nearest,CityCD,CityName,Street,BlockNumb,Highway,SepInd,SepRr1,SepRr2,SepRr3,SepRr4,MultFrmsFiLed,SameInd,SameRr1,SameRr2,SameRr3,SameRr4,RrID,Ttstn,TtstnNam,RrMain,XingOwnr,TypeXing,XPurpose,PosXing,OpenPub,TypeTrnSrvcIDs,DevelTypID,XingAdj,XngAdjNo,Whistban,WhistDate,HscoRrid,SfxHscoRrid,LLsource,RrNarr1,RrNarr2,RrNarr3,RrNarr4,StNarr1,StNarr2,StNarr3,StNarr4,RrNarr,StNarr,PolCont,RrCont,HwyCont,THRRequestNo,CCMQzid,OperatingRailroadCode,OperatingRailroadType,RrDiv,RrSubDiv,Branch,PrfxMilePost,MilePost,SfxMilePost,Lt1PassMov,PassCnt,DayThru,NghtThru,TotalSwt,TotalLtr,Lt1Mov,WeekTrnMov,YearTrnMov,MaxTtSpd,MinSpd,MaxSpd,MainTrk,SidingTrk,YardTrk,TransitTrk,IndustryTrk,OthrTrk,OthrTrkDes,SpselIDs,Sgnleqp,EMonitorDvce,HealthMonitor,NoSigns,XBuck,StopStd,YieldStd,AdvWarn,AdvW10_1,AdvW10_2,AdvW10_3,AdvW10_4,AdvW10_11,AdvW10_12,Low_Grnd,Low_GrndSigns,PaveMrkIDs,Channel,Exempt,EnsSign,OthSgn,OthSgn1,OthDes1,OthSgn2,OthDes2,OthSgn3,OthDes3,PrvxSign,Led,Gates,GatePed,GateConf,GateConfType,FlashOv,FlashNov,CFlashType,FlashPost,FlashPostType,Bkl_FlashPost,Sdl_FlashPost,FlashPai,AwdIDate,AwhornChk,AwhornlDate,HwyTrafSignl,Wigwags,Bells,SpecPro,FlashOth,FlashOthDes,HwynrSig,Intrprmp,PrempType,HwtrfPsig,HwtrfPsigsdis,HwtrfPsiglndis,MonitorDev,WdCode,TraficLn,TraflnType,HwyPved,Downst,Illumina,XSurfDate,XSurfWidth,XSurfLength,XSurfaceIDs,XSurOthr,HwyNear,HwynDist,XAngle,ComPower,HwySys,HwyClassCD,HwyClassrdtpID,StHwy1,HwySpeed,HwySpeedps,LrsRouteid,LrsMilePost,Aadt,AadtYear,PctTruk,SchlBusChk,SchlBsCnt,HazmtVeh,EmrgncySrvc,ReportYear,ReportType,CrossingType,DATE_CREAT,DATE_EDITE,OBJECTID,COUNTYNAME,CREATED_BY,EDITED_BY,geometry
155434S,Full Inventory Record,4436080,3510966,No,1,542,10/16/2019 12:00:00 AM,14,CSX,Published,10/16/2019 11:47:00 AM,CSX,18,IN,18099,MARSHALL,1,180393380,"NAPPANEE",PRIVATE ROAD,NA,PRIVATE,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362197,"NAPANEE",-1,-1,2,1,1,2,11,12,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,1,NA,NA,8002320144,9043663051,3172321491,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,177.29,NA,2,0,18,21,1,0,2,NA,2019,60,60,60,2,0,0,0,0,0,NA,0,1,2,2,1,0,2,0,0,NA,NA,NA,NA,NA,NA,2,NA,0,5,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,0,0,NA,0,NA,2,2,0,-1,2,NA,2,0,0,NA,0,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,NA,NA,NA,13,NA,1,200,3,2,8,NA,NA,2,NA,NA,NA,NA,NA,1970,NA,2,NA,NA,NA,2019,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.0664271, 41.4457759)"
155435Y,Full Inventory Record,4868349,4844961,No,1,542,6/24/2021 12:00:00 AM,14,CSX,Published,6/24/2021 11:30:38 AM,CSX,18,IN,18099,MARSHALL,1,180393380,"NAPPANEE",BEECH ROAD,NA,CR 87,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362197,"NAPANEE",-1,-1,3,1,1,NA,11,13,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,2,1,NA,SECTION 130 PROJECT COMPLETED 05/16/2000,8002320144,9043663051,8554636848,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,177.92,NA,2,0,18,21,1,0,2,NA,2021,60,60,60,2,0,0,0,0,0,NA,18,1,2,2,1,0,0,0,12,1,1,NA,NA,NA,NA,2,NA,0,5,2,1,1,2,58,NA,NA,NA,NA,NA,NA,2,0,1,NA,0,0,NA,2,2,1,1,6,-1,2,NA,2,0,1,0,0,NA,2,1,NA,NA,NA,NA,NA,8,2,2,1,2,2,NA,10,30,13,NA,1,NA,3,1,8,0,19,2,45,1,NA,NA,250,2018,10,2,NA,NA,2,2021,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.0785322, 41.4466814)"
155437M,Full Inventory Record,4436081,3510967,No,1,542,10/16/2019 12:00:00 AM,14,CSX,Published,10/16/2019 11:47:00 AM,CSX,18,IN,18099,MARSHALL,1,180393380,"NAPPANEE",PRIVATE ROAD,NA,PRIVATE,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,2,1,1,2,11,16,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,1,NA,NA,8002320144,9043663051,3172321491,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,178.92,NA,2,0,18,20,1,0,2,NA,2019,60,60,60,2,0,0,0,0,0,NA,0,1,2,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,0,5,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,0,0,NA,0,NA,2,2,0,-1,2,NA,2,0,0,NA,0,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,NA,NA,NA,18,NA,2,NA,3,2,8,NA,NA,2,NA,NA,NA,NA,NA,1970,NA,2,NA,NA,NA,2019,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.0977714, 41.4481151)"
155439B,Full Inventory Record,4436082,3510968,No,1,542,10/16/2019 12:00:00 AM,14,CSX,Published,10/16/2019 11:48:00 AM,CSX,18,IN,18099,MARSHALL,1,180393380,"NAPPANEE",PRIVATE ROAD,NA,PRIVATE,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,2,1,1,2,11,16,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,1,NA,NA,8002320144,9043663051,3172321491,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,179.51,NA,2,0,18,20,1,0,2,NA,2019,60,60,60,2,0,0,0,0,0,NA,0,1,2,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,0,5,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,0,0,NA,0,NA,2,2,0,-1,2,NA,2,0,0,NA,0,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,NA,NA,NA,18,NA,2,NA,3,2,8,NA,NA,2,NA,NA,NA,NA,NA,1970,NA,2,NA,NA,NA,2019,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.1093269, 41.4489761)"
155440V,Full Inventory Record,4844962,4830613,No,2,11806,5/25/2021 12:00:00 AM,14,CSX,Published,5/25/2021 11:59:27 AM,CSX,18,IN,18099,MARSHALL,1,180393380,"NAPPANEE",DOGWOOD RD,NA,CR 329,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,3,1,1,NA,11,14,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,1,NA,NA,8002320144,9043663051,8554636848,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,179.93,NA,2,0,16,22,1,0,2,NA,2021,60,60,60,2,0,0,0,0,0,NA,11,1,1,2,1,0,0,0,1,2,NA,NA,NA,NA,NA,2,NA,"1,2",5,2,1,1,2,58,NA,NA,NA,NA,NA,NA,2,0,1,NA,0,0,NA,2,1,1,2,4,-1,2,NA,2,0,1,NA,0,NA,2,1,NA,NA,NA,NA,NA,8,2,2,1,2,2,NA,25,24,12,NA,2,NA,3,1,8,0,17,2,45,1,NA,NA,1803,2018,3,2,NA,NA,2,2021,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.11757, 41.44957)"
155442J,Full Inventory Record,4957492,4147957,No,1,542,12/21/2021 12:00:00 AM,14,CSX,Published,12/21/2021 7:41:11 PM,CSX,18,IN,18099,MARSHALL,0,180990470,BREMEN,INDUSTRY,NA,PRIVATE,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,2,1,1,2,11,14,2,NA,0,NA,-1,NA,1,INDUSTRY TRACK,MP IS POINT OF SWITCH,CROSSING OWNER - CARGILL INC/TRUHORIZONS,NA,2,45,2,2,DOT# covers all private crossings within industry,CROSSING OWNER-CARGILL INC,8002320144,9043663051,3172321491,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,180.3,NA,2,0,0,0,0,0,1,2,2021,10,10,10,0,0,0,0,1,0,NA,0,2,2,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,2,0,NA,5,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,0,NA,NA,NA,0,0,NA,0,NA,2,2,0,-1,2,NA,2,0,0,NA,0,NA,2,1,NA,NA,NA,NA,NA,NA,2,NA,2,2,1,NA,NA,NA,18,NA,2,NA,0,1,8,NA,NA,2,5,1,NA,NA,NA,1970,NA,2,0,NA,NA,2021,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.142037, 41.451631)"
155443R,Full Inventory Record,4985614,4844963,No,1,542,2/3/2022 12:00:00 AM,14,CSX,Published,2/3/2022 4:51:23 PM,CSX,18,IN,18099,MARSHALL,0,180990470,BREMEN,CENTER STREET,NA,CR 325,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,3,1,1,NA,11,13,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,1,80,2,1,NA,SECTION 130 PROJECT COMPLETED 01/30/2003 - CROSSING SURFACE OUT 4-20-2011 FOR REHAB,8002320144,9043663051,8554636848,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,181.46,NA,2,0,18,21,1,0,2,NA,2022,60,60,60,2,0,0,0,0,0,NA,18,1,2,2,1,0,0,0,0,2,NA,NA,NA,NA,NA,2,NA,0,5,2,1,1,2,58,0,NA,NA,NA,NA,NA,2,NA,NA,NA,2,0,1,2,1,1,1,9,-1,2,NA,2,0,1,NA,0,NA,2,1,NA,NA,NA,NA,NA,8,2,NA,1,2,1,NA,25,48,13,NA,1,NA,3,1,8,0,19,2,20,1,NA,NA,1450,2018,9,1,4,NA,2,2022,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.146551, 41.451639)"
155446L,Full Inventory Record,4844964,4655207,No,2,11806,5/25/2021 12:00:00 AM,14,CSX,Published,5/25/2021 11:59:33 AM,CSX,18,IN,18099,MARSHALL,0,180990470,BREMEN,BOWEN ST/SR 331,NA,SR 331,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,3,1,1,NA,11,14,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,1,90,1,1,NA,NEW ASPHALT CROSSING SURFACE IN 2020,8002320144,9043663051,8554636848,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,181.96,NA,2,0,18,24,1,0,2,NA,2019,60,10,60,2,0,0,0,1,1,SIDETRACKS,12,1,2,2,1,0,0,0,0,2,NA,NA,NA,NA,NA,2,NA,2,5,2,1,1,2,58,NA,NA,NA,NA,NA,NA,2,0,1,NA,0,0,NA,2,1,1,2,4,-1,2,NA,2,0,1,NA,0,NA,2,1,NA,NA,NA,NA,NA,8,2,2,1,2,1,NA,40,40,13,NA,2,NA,3,1,3,0,17,1,35,1,NA,NA,5016,2018,11,1,10,NA,2,2021,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.1561482, 41.4521333)"
155449G,Full Inventory Record,4844965,4655208,No,2,11806,5/25/2021 12:00:00 AM,14,CSX,Published,5/25/2021 11:59:36 AM,CSX,18,IN,18099,MARSHALL,1,180990470,BREMEN,MIAMI RD,NA,CR 317,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,3,1,1,NA,11,13,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,1,NA,NA,8002320144,9043663051,8554636848,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,183.83,NA,2,0,18,24,1,0,2,NA,2019,60,60,60,2,0,0,0,0,0,NA,12,1,1,2,1,0,0,0,0,2,NA,NA,NA,NA,NA,2,NA,2,5,2,1,1,2,58,NA,NA,NA,NA,NA,NA,2,0,1,NA,0,0,NA,2,2,1,2,4,-1,2,NA,2,0,1,NA,0,NA,2,1,NA,NA,NA,NA,NA,8,2,2,1,2,2,NA,25,32,13,NA,2,NA,3,1,3,0,17,2,45,1,NA,NA,991,2018,13,1,2,NA,2,2021,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.1922589, 41.4541171)"
155450B,Full Inventory Record,4436083,3510971,No,1,542,10/16/2019 12:00:00 AM,14,CSX,Published,10/16/2019 11:49:00 AM,CSX,18,IN,18099,MARSHALL,1,180990470,BREMEN,PRIVATE ROAD,NA,PRIVATE,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,2,1,1,2,11,16,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,2,1,NA,NA,8002320144,9043663051,3172321491,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,184.05,NA,2,0,18,20,1,0,2,NA,2019,60,60,60,2,0,0,0,0,0,NA,0,1,2,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,0,5,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,0,0,NA,0,NA,2,2,0,-1,2,NA,2,0,0,NA,0,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,NA,NA,NA,13,NA,2,NA,3,2,8,NA,NA,2,NA,NA,NA,NA,NA,1970,NA,2,NA,NA,NA,2019,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.1963748, 41.4543392)"
155451H,Full Inventory Record,4436084,3510972,No,1,542,10/16/2019 12:00:00 AM,14,CSX,Published,10/16/2019 11:49:00 AM,CSX,18,IN,18099,MARSHALL,1,180990470,BREMEN,PRIVATE ROAD,NA,PRIVATE,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,2,1,1,2,11,16,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,1,NA,NA,8002320144,9043663051,3172321491,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,184.35,NA,2,0,18,20,1,0,2,NA,2019,60,60,60,2,0,0,0,0,0,NA,0,1,2,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,0,5,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,0,0,NA,0,NA,2,2,0,-1,2,NA,2,0,0,NA,0,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,NA,NA,NA,13,NA,2,NA,3,2,8,NA,NA,2,NA,NA,NA,NA,NA,1970,NA,2,NA,NA,NA,2019,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.2021632, 41.4546561)"
155452P,Full Inventory Record,4436085,3510973,No,1,542,10/16/2019 12:00:00 AM,14,CSX,Published,10/16/2019 11:50:00 AM,CSX,18,IN,18099,MARSHALL,1,180990470,BREMEN,PRIVATE ROAD,NA,PRIVATE,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,2,1,1,2,11,16,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,2,NA,NA,8002320144,9043663051,3172321491,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,184.72,NA,2,0,18,20,1,0,2,NA,2019,60,60,60,2,0,0,0,0,0,NA,0,1,2,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,0,5,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,0,0,NA,0,NA,2,2,0,-1,2,NA,2,0,0,NA,0,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,NA,NA,NA,13,NA,2,NA,3,2,8,NA,NA,2,NA,NA,NA,NA,NA,1970,NA,2,NA,NA,NA,2019,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.2091322, 41.4550321)"
155453W,Full Inventory Record,4436086,3510974,No,1,542,10/16/2019 12:00:00 AM,14,CSX,Published,10/16/2019 11:51:00 AM,CSX,18,IN,18099,MARSHALL,1,180990470,BREMEN,PRIVATE ROAD,NA,PRIVATE,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,2,1,1,2,11,16,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,2,NA,NA,8002320144,9043663051,3172321491,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,185.36,NA,2,0,18,20,1,0,2,NA,2019,60,60,60,2,0,0,0,0,0,NA,0,1,2,2,1,0,0,0,0,NA,NA,NA,NA,NA,NA,2,NA,0,5,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,0,0,NA,NA,0,0,NA,0,NA,2,2,0,-1,2,NA,2,0,0,NA,0,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,NA,NA,NA,13,NA,2,NA,3,2,8,NA,NA,2,NA,NA,NA,NA,NA,1970,NA,2,NA,NA,NA,2019,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.2214846, 41.4556976)"
155454D,Full Inventory Record,4868548,4868350,No,1,542,6/25/2021 12:00:00 AM,14,CSX,Published,6/25/2021 3:50:32 PM,CSX,18,IN,18099,MARSHALL,1,180992550,LAPAZ,JARRAH ROAD,NA,CR 301,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,3,1,1,NA,11,11,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,1,NA,SECTION 130 PROJECT COMPLETED 04/30/2004,8002320144,9043663051,8554636848,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,186.47,NA,2,0,18,20,1,0,2,NA,2021,60,60,60,2,0,0,0,0,0,NA,11,1,2,2,1,0,0,0,0,3,NA,NA,NA,NA,NA,2,NA,0,5,2,1,1,2,58,0,NA,NA,NA,NA,NA,2,0,1,NA,0,0,NA,2,2,1,1,6,-1,2,NA,2,0,1,NA,0,NA,2,1,NA,NA,NA,NA,NA,8,2,2,2,2,1,NA,25,24,13,NA,1,NA,3,1,8,0,19,2,35,1,NA,NA,250,2018,10,2,0,NA,2,2021,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.242961, 41.456852)"
155455K,Full Inventory Record,4868351,4844967,No,1,542,6/24/2021 12:00:00 AM,14,CSX,Published,6/24/2021 11:30:44 AM,CSX,18,IN,18099,MARSHALL,1,180992550,LAPAZ,KING RD,NA,CR 97,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,3,1,1,NA,11,12,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,1,NA,NA,8002320144,9043663051,8554636848,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,187.47,NA,2,0,18,20,1,0,2,NA,2021,60,60,60,2,0,0,0,0,0,NA,11,1,1,2,1,0,0,0,0,2,NA,NA,NA,NA,NA,2,NA,"1,2",5,2,1,1,2,58,NA,NA,NA,NA,NA,NA,2,0,1,NA,0,0,NA,2,2,1,2,4,-1,2,NA,2,0,1,NA,0,NA,2,1,NA,NA,NA,NA,NA,8,2,2,1,2,2,NA,25,24,12,NA,2,NA,3,1,8,0,17,2,45,1,NA,NA,190,2018,66,2,NA,NA,2,2021,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.2621148, 41.4578729)"
155456S,Full Inventory Record,4871951,4868352,No,1,542,6/28/2021 12:00:00 AM,14,CSX,Published,6/28/2021 4:50:07 PM,CSX,18,IN,18099,MARSHALL,1,180992550,LAPAZ,LINDEN ROAD,NA,CR 293,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,3,1,1,NA,11,11,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,2,NA,SECTION 130 PROJECT COMPLETED 04/30/2004,8002320144,9043663051,8554636848,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,188.22,NA,2,0,18,20,1,0,2,NA,2021,60,60,60,2,0,0,0,0,0,NA,11,1,2,2,1,0,2,0,0,2,NA,NA,NA,NA,NA,2,NA,0,5,2,1,1,2,58,0,NA,NA,NA,NA,NA,2,0,1,NA,0,0,NA,2,2,1,2,4,-1,2,NA,2,0,1,NA,0,NA,2,1,NA,NA,NA,NA,NA,8,2,2,2,2,2,NA,25,24,12,NA,2,NA,3,1,8,0,19,2,45,1,NA,NA,250,2018,10,2,0,NA,2,2021,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.2765613, 41.4586392)"
155458F,Full Inventory Record,4871952,4868353,No,1,542,6/28/2021 12:00:00 AM,14,CSX,Published,6/28/2021 4:50:10 PM,CSX,18,IN,18099,MARSHALL,0,180992550,LAPAZ,MAPLE ROAD,NA,CR 285,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,3,1,1,NA,11,12,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,2,NA,SECTION 130 PROJECT COMPLETED 04/30/2004,8002320144,9043663051,8554636848,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,189.22,NA,2,0,18,20,1,0,2,NA,2021,60,60,60,2,0,0,0,0,0,NA,11,1,2,2,1,0,0,0,0,2,NA,NA,NA,NA,NA,2,NA,0,5,2,1,1,2,58,2,NA,NA,NA,NA,NA,2,0,1,NA,2,0,2,2,2,1,2,8,-1,2,NA,2,0,2,NA,0,NA,2,1,NA,NA,NA,NA,NA,8,2,2,2,2,2,NA,25,32,13,NA,2,NA,3,1,8,0,19,2,30,1,NA,NA,250,2018,10,2,0,NA,2,2021,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.2959763, 41.4597109)"
155462V,Full Inventory Record,4786530,3842186,No,1,542,3/4/2021 12:00:00 AM,19,CSX,Published,3/4/2021 4:13:01 PM,CSX,18,IN,18099,MARSHALL,1,180992550,LAPAZ,PRIVATE ROAD,NA,PRIVATE,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362822,LAPAZ,-1,-1,2,1,1,2,11,16,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,1,NA,NA,8002320144,9043663051,3172321491,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,191.47,NA,2,0,17,22,1,0,2,NA,2021,60,60,60,2,0,0,0,0,0,NA,0,1,2,2,1,0,2,0,0,NA,NA,NA,NA,NA,NA,2,0,0,5,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,0,0,NA,NA,0,0,NA,0,NA,2,2,0,-1,2,NA,2,0,0,NA,0,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,2,2,2,NA,NA,NA,13,NA,2,NA,0,2,8,NA,NA,2,NA,NA,NA,NA,NA,1970,NA,2,0,NA,NA,2021,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.339125, 41.461968)"
155464J,Full Inventory Record,4868407,4844970,No,1,542,6/24/2021 12:00:00 AM,14,CSX,Published,6/24/2021 3:40:07 PM,CSX,18,IN,18099,MARSHALL,1,180992550,LAPAZ,PINE ROAD,NA,CR 35,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,3,1,1,NA,11,12,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,2,NA,NA,8002320144,9043663051,8554636848,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,191.97,NA,2,0,18,20,1,0,2,NA,2021,60,60,60,2,0,0,0,0,0,NA,11,1,1,2,1,0,0,0,0,2,NA,NA,NA,NA,NA,2,NA,2,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,0,0,NA,2,2,1,2,4,-1,2,NA,2,0,1,NA,0,NA,2,1,NA,NA,NA,NA,NA,8,2,2,1,2,2,NA,25,24,13,NA,1,NA,3,1,8,0,19,2,45,1,NA,NA,250,2018,10,1,4,NA,2,2021,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.3487493, 41.4624655)"
155465R,Full Inventory Record,4868408,4844971,No,1,542,6/24/2021 12:00:00 AM,14,CSX,Published,6/24/2021 3:40:11 PM,CSX,18,IN,18099,MARSHALL,1,180994819,TEEGARDEN,W 1ST STREET,NA,CR 100,2,NA,NA,NA,NA,2,2,NA,NA,NA,NA,911911,362814,BREMEN,-1,-1,3,1,1,NA,11,12,2,NA,0,NA,-1,NA,1,NA,NA,NA,NA,2,90,1,1,NA,NA,8002320144,9043663051,8554636848,NA,NA,CSX,Primary,CHICAGO,GARRETT,#N\A,BI,192.68,NA,2,0,18,20,1,0,2,NA,2021,60,60,60,2,0,0,0,0,0,NA,11,1,1,2,1,0,0,0,0,1,NA,NA,NA,NA,NA,2,NA,2,5,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,2,0,1,NA,0,0,NA,2,2,1,2,4,-1,2,NA,2,0,1,NA,0,NA,2,1,NA,NA,NA,NA,NA,8,2,2,1,2,2,NA,25,32,13,NA,2,NA,3,1,8,0,19,2,40,1,NA,NA,250,2018,10,1,4,NA,2,2021,Major,At-Grade,2014-07-30,2014-07-30,62,MARSHALL,DOTRAH,DOTRAH,"c(-86.362476, 41.4631896)"
